"","ID","Model.1.R.2","Model.2.R.2","Model.3.R.2","Model.4.R.2","Model.5.R.2","Model.6.R.2","Model.7.R.2","Model.8.R.2","Model.1.BIC","Model.2.BIC","Model.3.BIC","Model.4.BIC","Model.5.BIC","Model.6.BIC","Model.7.BIC","Model.8.BIC","Pop_Size_units","Temp_C","Medium","Species","Repeat","Citation","N05","Nmax5","Rmax5","Tlag5","N06","Nmax6","Rmax6","Tlag6","N07","Nmax7","Rmax7","Tlag7","N08","Nmax8","Rmax8","Tlag8","Model5score","Model6score","Model7score","Model8score","Model5total","Model6total","Model7total","Model8total"
"47",12765,0.928,0.943,0.988,0.992,0.983,0.993,0.991,0.991,48.42,47.92,29.21,24.98,31.01,21.93,24.36,24.39,"CFU",7,"Raw Chicken Breast","Staphylococcus spp.",1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.160500564521991,10.215932457,0.0324686153367754,0.079720310998411,0.949039799210885,11.0707504551521,0.159355937665813,69.7417823644712,0.988717763382329,10.3893167947083,0.129956911119648,59.2705076772419,1.02695326702244,10.3804914250581,0.12694447020076,58.1999315819252,1,5,3,3,0,13.97,6.68,6.62
"48",13487,0.838,0.964,0.983,0.996,0.991,0.993,0.991,0.989,45.37,29.96,23.57,9.607,12.95,12.54,15.86,18.02,"CFU",10,"Salted Chicken Breast","Aerobic Mesophilic.",1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.168099188423537,8.55997635499941,0.0537586860413024,0.0500054676524686,0.997452827647088,8.57650652481871,0.294245300801706,46.6497867088692,0.935541014514415,8.44265421738226,0.22752838392397,40.0178806206468,1.01756578732149,8.50045350690233,0.212468768501961,38.7401789676353,5,5,3,3,7.98,9.21,2.16,0
"49",14054,0.969,0.97,0.988,0.993,0.949,0.993,0.988,0.983,25.15,26.93,20.83,17.96,31.84,16.14,20.87,24.23,"CFU",20,"Cooked Chicken Breast","Pseudomonas spp.",1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.0522741523959691,10.9049639137257,0.209920555339221,0.0744597515723291,1.07498935988662,12.0227227148826,0.854516706594872,15.0267439848833,1.27184444002745,11.0648658571912,0.720164448273723,13.9977603649411,1.17811063311066,11.450212109412,0.628394210284835,11.5864724715305,0,5,3,1,0,28.52,14.33,7.61
"53",15140,0.929,0.932,0.988,0.991,0.984,0.997,0.988,0.983,32.58,34.38,20.87,20.54,21.53,9.89,20.71,24.38,"CFU",2,"Cooked Chicken Breast","Aerobic Psychotropic.",1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.033112361794992,10.615428648572,0.0186504473440285,0.028460294441657,0.996848748129092,11.1255943381057,0.101242380309313,212.63187071138,1.05817271825395,10.615428648572,0.0857406681508618,200.444822090478,1.02090297095635,11.1462000810006,0.0685130987010125,174.942483253759,0,5,0,0,2.85,36.95,4.49,0
"54",15513,0.821,0.979,0.991,0.992,0.99,0.995,0.993,0.984,-19.59,-50.97,-62.3,-61.58,-62.23,-69.89,-66.04,-52.98,"OD_595",25,"TSB","Stenotrophomonas.maltophilia",2,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.0423651417504818,0.616699973478879,0.130532460653382,0.00688512172439085,0,0.616699973478879,0.038403113838335,1.31882187604456,0,0.616699973478879,0.06372424648595,3.29755821745686,0.0265757696567265,0.616699973478879,0.0263580717875509,0.213764550023263,1,5,3,0,9.25,28.42,16.87,0
"55",15909,0.349,0.518,0.683,0.835,0.994,0.996,0.993,0.982,13.29,11.03,6.734,-1.544,-62.33,-68.47,-58.53,-42.31,"OD_595",35,"TSB","Enterobacter.sp.",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.0329812062633013,0.940098880505591,0.749095980168306,0.00714915613210845,0.0460457857690723,0.947816516658311,0.424212666363328,2.03213049666915,0.0170652080335243,0.941895127080148,0.761692186312488,3.01960784313726,0.0488777137778678,0.936887899663439,0.303111073608067,1.35078923896288,1,5,1,0,23.82,42.24,16.22,0
"56",16620,0.71,0.775,0.777,0.79,0.268,0.79,0.79,0.805,42.99,42.59,44.88,46.64,55.55,44.22,44.22,43.38,"N",5,"ESAW","Tetraselmis tetrahele",4,"Bernhardt, J.R., Sunday, J.M. and O’Connor, M.I., 2018. Metabolic theory and the temperature-size rule explain the temperature dependence of population carrying capacity. The American naturalist, 192(6), pp.687-697.",8.61148332436692,14.0134745572273,0.014524884435891,2.77035105220127,9.00023873550216,14.4731541352299,0.0296168294342243,75.8606261464247,9.11721563974264,14.3388084570569,0.0263266692951483,74.600409350894,9.40137684914432,14.3215043946125,0.0233096688609867,82.8417676940448,0,5,5,5,0,11.33,11.33,13.85
"57",16755,0.947,0.962,0.994,0.999,0.949,0.998,0.996,0.991,29.84,29.02,15.35,3.945,31.78,5.333,11.26,17.85,"CFU",15,"Cooked Chicken Breast","Aerobic Mesophilic.",1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.0836463933908303,11.3678736754238,0.113723457710966,0.0919177272588888,1.31817394124164,12.3694491286043,0.501734384353847,25.6397801725353,1.41405010306311,11.5688266743923,0.434428046659013,23.5096553009788,1.48337552121703,11.9362673591949,0.388817484722594,21.9975161058412,0,5,3,0,0,44.891,27.11,13.93
"58",17002,0.925,0.992,0.992,0.992,0.581,0.99,0.99,0.99,70.84,42.91,44.57,46.56,97.51,47.61,47.52,47.43,"N",12,"MRS broth","Weissella viridescens",1,"Silva, A.P.R.D., Longhi, D.A., Dalcanton, F. and Aragão, G.M.F.D., 2018. Modelling the growth of lactic acid bacteria at different temperatures. Brazilian Archives of Biology and Technology, 61.",0.000251269016064798,28.4075605560574,0.409861661296781,0.00220613725157071,4.674074356974,31.3193355130533,0.749522902768681,0,6.07721014271542,29.1007705677321,0.639093647619414,0,6.46691827383174,29.0936182887268,0.640119595191205,1.2886291173493,0,5,5,5,0,49.9,50.08,50.35
"59",17352,0.986,0.993,1,1,0.952,0.995,1,0.999,11.7,8.491,-11.17,-14.27,23.81,7.431,-16.03,-7.914,"CFU",20,"Salted Chicken Breast","Pseudomonas spp.",1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.111878198398534,8.98456288969716,0.158422778632692,0.117073819877955,1.29881709031374,9.90548058589111,0.599325349353653,16.6094535629573,1.02740655943558,9.44607722402278,0.481910303772134,12.3906407720181,1.31301645188203,9.43379103418201,0.467883094864318,13.3086890761146,0,0,5,1,0,16.379,71.417,47.069
"60",18249,0.959,0.959,0.98,0.989,0.206,0.983,0.983,0.987,13.96,15.67,13.14,11.51,33.47,12.27,12.33,10.78,"N",20,"Vacuum Beef Striploins","Spoilage",1,"Gill, C.O. and DeLacy, K.M., 1991. Growth of Escherichia coli and Salmonella typhimurium on high-pH beef packed under vacuum or carbon dioxide. International journal of food microbiology, 13(1), pp.21-30.",6.90577808677501,13.0182895622267,7.56131919699714,3.06361227775552,7.28535356054902,14.352664242355,13.1196857730967,0.331384253246884,7.35912633806405,13.6905062244732,11.4031780199887,0.285227238334498,7.51742669172196,13.6692040403381,11.09976894074,0.298714279924292,0,5,5,5,0,21.26,21.14,25.73
"61",18929,0.467,0.804,0.963,0.971,0.983,0.974,0.989,0.987,65.22,53.86,33.19,32.49,19.29,28.22,16.76,18.21,"CFU",20,"TGE agar","Arthrobacter sp. 88",1,"Roth, N.G. and Wheaton, R.B., 1962. Continuity of psychrophilic and mesophilic growth characteristics in the genus Arthrobacter. Journal of bacteriology, 83(3), pp.551-555.",1.08734666915453,9.90349021153027,0.0808851823713938,0.254012209224924,0.913986706676276,9.93068269646206,0.438467150671302,3.18901370414002,1.42885589047043,9.87245717721203,0.360343743882213,3.18901370414002,1.60855624610108,9.87201283785129,0.347346061748342,3.18901370414002,3,0,5,5,8.93,0,15.44,11.09
"62",19402,0.922,0.948,0.993,0.998,0.983,0.996,0.999,0.998,25.13,24.25,12.01,5.954,16.46,8.133,-2.636,1.435,"CFU",4,"Salted Chicken Breast","Aerobic Mesophilic.",1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.119837199418468,9.90307662173139,0.0193819704216272,0.0943066544846817,1.54930755073101,10.3153439986366,0.107772389789755,160.566158082082,1.48849545057081,9.81499105744224,0.0868596113717975,141.556762720784,1.42458522654097,9.81750720579031,0.0810091097008262,131.634178641026,0,0,5,3,0,8.327,33.936,21.723
"63",19444,0.753,0.979,0.979,0.999,0.991,0.994,0.999,0.999,28.73,13.39,15.32,-2.404,7.372,7.006,-3.57,-3.948,"CFU",4,"Cooked Chicken Breast","Staphylococcus spp.",1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.0716729748599868,8.16185786066781,0.0197553147117077,0.0404749788312942,1.46510344474542,8.12359138473858,0.111456674095018,188.107936662394,1.41792447153127,8.04362375931745,0.087036598855839,174.376042730932,1.46902764401626,8.0370473607439,0.086268949299801,175.038783241465,0,0,5,5,0,0.366,21.518,22.652
"64",19445,0.306,0.491,0.661,0.82,0.996,0.996,0.993,0.986,13.82,11.36,7.282,-0.5912,-69.57,-66.41,-59.27,-46.62,"OD_595",25,"TSB","Klebsiella.pneumonia",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.024442909899954,0.934987748966752,0.808920307514256,0.00489414699162401,0.0991239515833376,0.932109220033832,0.556570893632899,3.0036438264366,0.0109479501009199,0.936888263582313,0.778294708345693,3.0036438264366,0.0674211464579002,0.929501310731638,0.322942711985957,1.67634264169225,5,3,0,0,36.41,26.93,12.65,0
"65",21150,0.951,0.963,0.996,0.999,0.989,0.999,0.998,0.998,28,27.46,7.314,-2.321,15.68,-6.962,0.2082,2.613,"CFU",2,"Raw Chicken Breast","Aerobic Psychotropic.",1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.14255791378008,9.11299046742596,0.0168007451511272,0.0569838720528495,1.12549356000963,9.71955729798826,0.0807740131374238,154.327234352631,1.1483472930194,9.15891229914619,0.0678937604717999,139.60776938395,1.16564824591318,9.16012437412755,0.0656050917599027,135.228308402806,0,5,1,1,0,39.3872,17.8766,13.067
"66",21317,0.929,0.94,0.988,0.995,0.988,0.996,0.997,0.997,37.55,38.04,23.01,14.61,20.33,10.3,7.261,7.392,"CFU",10,"Raw Chicken Breast","Staphylococcus spp.",1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.0862355916496877,10.5658886506228,0.0539506289980578,0.0428383808161905,0.995597689454774,11.2382640888696,0.283794271213684,53.8022572804177,1.02970237384998,10.5289655803412,0.258022688516931,51.2027790138489,1.03412735284429,10.5278996286412,0.256952432060644,51.0382075818117,0,3,5,5,0,10.03,16.239,15.846
"67",21425,0.913,0.915,0.989,0.989,0.98,0.991,0.995,0.994,52,54.23,27.99,30.6,33.82,25.24,17.99,18.89,"CFU",7,"Cooked Chicken Breast","Aerobic Psychotropic.",1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.0647565063133097,10.4187543647108,0.0300787911064208,0.0460884119509321,1.03856876173826,10.9254681647309,0.170441088533858,112.927772209475,1.02389730214637,10.180112425705,0.147502097768899,104.649607390355,1.01877460715251,10.1683293130762,0.14193369568295,101.134351588826,0,1,5,5,0,8.58,23.98,21.28
"68",21765,0.924,0.924,0.994,0.994,0.97,0.99,0.994,0.993,29.59,31.79,11.65,13.22,23.42,15.92,11.72,12.34,"CFU",2,"Cooked Chicken Breast","Aerobic Mesophilic.",1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.0882925733199642,9.2737924807578,0.0175176629390512,0.0725896450873409,1.36050958360645,9.7595236650174,0.0868362831716552,184.04852346706,1.38216527215063,9.37711271190697,0.0707105287987881,168.713101096066,1.42377067851514,9.36664938056067,0.0671335308382978,163.060031767292,0,3,5,5,0,7.5,16.52,14.66
"69",21836,0.958,0.979,0.993,0.998,0.985,0.997,0.994,0.993,20.98,17.23,9.27,-1.682,14.04,0.1352,8.287,8.859,"CFU",15,"Salted Chicken Breast","Aerobic Psychotropic.",1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.230674233002333,8.06120833704482,0.0756818878794772,0.0902773002149547,1.06600853131525,8.85172206680683,0.305692224243878,25.6728374387117,1.18303251225456,8.11558826625745,0.277502975884675,24.8319228987041,1.25133369480177,8.0464704402556,0.279348189431375,25.4224951691472,0,5,1,1,0,30.7804,6.325,5.181
"70",22569,0.721,0.981,0.999,0.999,0.999,0.999,0.963,0.979,30.76,8.613,-15.69,-14.91,-17.1,-16.53,16.99,12.03,"CFU",7,"TGE agar","Arthrobacter sp. 88",1,"Roth, N.G. and Wheaton, R.B., 1962. Continuity of psychrophilic and mesophilic growth characteristics in the genus Arthrobacter. Journal of bacteriology, 83(3), pp.551-555.",1.88705060711608,7.5375277434595,0.024165806778175,0.0661961726481308,1.48197996824271,7.56259933296768,0.111457509127944,0,2.54850950212285,7.53125219718202,0.0651448369053342,0,2.19103013059399,7.45006847806261,0.0786237241241231,1.59327248279879,5,5,0,0,63.79,62.08,0,4.96
"71",22579,0.944,0.944,0.992,0.993,0.972,0.995,0.992,0.992,43.72,46.35,22.08,21.76,36.53,16.22,21.61,22.36,"CFU",7,"Salted Chicken Breast","Staphylococcus spp.",1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.103166252162715,10.1381051727464,0.0317496874920754,0.0661892654694665,0.942005160897154,10.9279867348114,0.14223214825422,82.3421384334683,0.980581008767811,10.3537901429509,0.115107079800884,71.2808080679287,1.01361001178962,10.3686386488542,0.111555697857118,69.6433781333782,0,5,3,1,0,31.84,15.67,14.17
"72",23362,0.772,0.968,0.988,0.991,0.911,0.976,0.983,0.975,-32.39,-59.09,-71.06,-72.91,-43.76,-60.7,-66.21,-60.05,"OD_595",35,"TSB","Bacillus.pumilus",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.00505103760360413,0.345219874788884,0.362480868528329,0.00755666303272433,0,0.345219874788884,0.0212732188212326,0.131635494125195,0,0.345219874788884,0.0475739593722139,0.193400809867663,1.50067628370137e-05,0.345219874788884,0.022160859098216,0.556582201448405,0,3,5,1,0,17.59,34.12,16.29
"75",24159,0.988,0.99,0.997,0.998,0.125,0.992,0.996,0.996,8.808,9.976,3.178,2.171,40.95,9.976,4.45,4.319,"N",12,"Vacuum Beef Striploins","Spoilage",1,"Gill, C.O. and DeLacy, K.M., 1991. Growth of Escherichia coli and Salmonella typhimurium on high-pH beef packed under vacuum or carbon dioxide. International journal of food microbiology, 13(1), pp.21-30.",4.43904373517487,13.2372346310054,2.78628396849373,3.41882342279269,6.5776765472898,14.5940511806835,5.28028714375572,0.959714843953444,6.41434675444388,14.039416430456,4.23420012154174,0.539284085639742,6.38803334272507,13.8990963625557,4.16625501451983,0.484943493559712,0,3,5,5,0,30.974,42.026,42.419
"76",24741,0.862,0.997,0.998,0.999,0.543,0.998,0.997,0.996,65.98,24.39,23.43,11.6,81.58,23.16,28.54,30.72,"N",30,"MRS broth","Lactobacillus sakei",1,"Silva, A.P.R.D., Longhi, D.A., Dalcanton, F. and Aragão, G.M.F.D., 2018. Modelling the growth of lactic acid bacteria at different temperatures. Brazilian Archives of Biology and Technology, 61.",3.58501286684501,29.5182501831429,0.930947857678144,5.00925600363452,4.43157195120568,31.0552444323323,4.37128529212491,0,6.21362335856658,30.3917317526697,3.50303719030827,0,6.43067939799802,30.3917186098623,3.41379202209749,0,0,5,3,1,0,71.36,55.22,50.86
"77",24959,0.251,0.924,0.985,0.986,0.534,0.725,0.721,0.742,3.247,-48.55,-84.97,-81.98,-4.993,-14.46,-14.1,-16.02,"OD_595",15,"TSB","Clavibacter.michiganensis",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.0616275332006488,0.792317761444115,0.0352632639492821,0.057640292725186,0,0.718655565935706,0.0170477873839211,0,0,0.718655565935706,0.0257665715561054,0,0.0246612755488039,0.718655565935706,0.012562270839252,0,0,5,5,5,0,9.827,9.107,14.507
"78",25341,0.496,0.76,0.872,0.928,0.992,0.994,0.993,0.991,1.011,-19.28,-35.96,-50.71,-128.9,-131.8,-128.8,-120,"OD_595",15,"TSB","Klebsiella.pneumonia..RDA.R.",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.0682215411082461,0.796864558073245,0.278785790169552,0.00893426252867974,0.00321067079611186,0.799707939965323,0.104013626904157,0,0.0386218949822081,0.800228265929881,0.160430016343387,2.63387101654018,0.0818112574251903,0.795749913273193,0.113731398764186,2.05972138765959,3,5,3,0,9,17.7,8.80000000000001,0
"79",25375,0.921,0.929,0.989,0.991,0.976,0.992,0.993,0.993,48.55,49.8,30.18,29.85,36.52,25.42,24.89,24.72,"CFU",7,"Cooked Chicken Breast","Aerobic Mesophilic.",1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.0123638811882997,12.3923569614601,0.0411178289377244,0.01737601277995,1.01959781449088,13.6625735500098,0.215455531875776,112.927773030979,1.0521125074322,12.5814541168894,0.171531330862854,99.8751427900134,1.08164748584464,12.614477546377,0.165294867881143,97.2035060631666,0,5,5,5,0,11.1,12.16,12.67
"80",26265,0.947,0.992,0.997,1,-0.137,0.993,0.998,0.996,6.175,-3.509,-8.14,-24.65,26.32,-2.802,-11.24,-5.469,"N",10,"Vacuum Beef Striploins","Salmonella Typhimurium",1,"Gill, C.O. and DeLacy, K.M., 1991. Growth of Escherichia coli and Salmonella typhimurium on high-pH beef packed under vacuum or carbon dioxide. International journal of food microbiology, 13(1), pp.21-30.",4.86201792589008,8.1719050223021,1.71053902246793,1.68669611786874,5.63784482088606,9.00952528708806,2.4203188010545,1.78482915797968,5.58397939858711,8.99846428546588,2.21346084909282,1.67177400953399,5.62558164180751,8.5805002734172,2.01471916542692,1.52679585479218,0,1,5,3,0,29.122,51.769,34.456
"81",26919,0.339,0.547,0.721,0.86,0.997,0.998,0.994,0.992,10.83,7.246,1.818,-7.101,-78.82,-78.35,-62.47,-57.91,"OD_595",25,"TSB","Klebsiella.pneumonia..RDA.R.",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.0375656948866236,0.880336431699064,0.651485456555777,0.0045579333125531,0.065961786729454,0.883789845512465,0.351519368071189,2.22297121061704,0,0.884146672471114,0.57816487201319,2.73643788028605,0.0636125214977951,0.877500587143189,0.255525332709309,1.47330097986336,5,5,0,0,37.73,36.32,4.56,0
"82",27048,0.852,0.994,0.994,0.998,0.592,0.996,0.998,0.992,86.65,41.33,43.57,27.71,104.5,38.2,30.01,47.99,"N",20,"MRS broth","Weissella viridescens",1,"Silva, A.P.R.D., Longhi, D.A., Dalcanton, F. and Aragão, G.M.F.D., 2018. Modelling the growth of lactic acid bacteria at different temperatures. Brazilian Archives of Biology and Technology, 61.",0.669149424696199,29.2250313679506,0.527729825498083,1.54850024967968,5.6094818101617,31.3624966355008,2.29737235803254,2.86591465301557,5.08252139536165,30.3236338232305,1.82963361402233,0,8.49944781001195,30.3286169652473,1.90922124808557,5.15826494724499,0,1,5,0,0,76.09,100.66,56.51
"83",27269,0.00682,0.233,0.541,0.78,0.644,0.702,0.688,0.706,19.18,17.42,11.09,0.7571,3.585,3.28,4.099,3.074,"OD_595",35,"TSB","Dickeya.zeae",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.0942438968342487,0.862968404876379,0.562622398493104,0.0791640248826565,0.0382951712623475,0.862968404876379,0.621620960897997,2.55077747989276,0,0.862968404876379,0.906116825120198,2.55077747989276,0.0747859811668476,0.862968404876379,0.437360559970785,2.55077747989276,5,5,5,5,0.514,1.124,0,1.742
"84",27405,0.972,0.974,0.993,0.995,0.959,0.987,0.995,0.993,17.08,18.57,10.37,10.24,22.2,15.36,8.088,9.992,"CFU",20,"Raw Chicken Breast","Aerobic Psychotropic.",1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.0669037857576611,8.98752415997298,0.188960026885102,0.070049058299847,1.60519717031907,9.5351431042264,0.849541961251195,18.5877882193261,1.54263533807596,9.19635903127113,0.698998524334116,16.7596281458705,1.43837661875494,9.08108867069181,0.652129600294482,15.2217337344659,0,1,5,5,0,6.84,23.288,17.576
"85",27458,0.854,0.993,0.994,0.995,0.832,0.898,0.938,0.953,25.09,6.054,6.167,7.432,28.04,26.47,22.96,21.08,"N",30,"C02 Beef Striploins","Salmonella Typhimurium",1,"Gill, C.O. and DeLacy, K.M., 1991. Growth of Escherichia coli and Salmonella typhimurium on high-pH beef packed under vacuum or carbon dioxide. International journal of food microbiology, 13(1), pp.21-30.",5.12634128418231,12.0809963822274,9.03977333461807,1.37634895826775,6.65808155741752,13.3192985114057,12.6850462013388,0,6.57785568378003,12.4088550210982,12.6850462013388,0,6.8017308271921,12.3311709779266,12.6850462013388,1.03102066154595e-05,1,3,5,5,0,1.57,8.59,14.23
"86",28207,0.961,0.973,0.998,0.999,0.512,0.988,0.998,0.998,15.7,15.21,0.9595,-1.044,32.59,11.97,1.036,0.9812,"N",20,"Vacuum Beef Striploins","Salmonella Typhimurium",1,"Gill, C.O. and DeLacy, K.M., 1991. Growth of Escherichia coli and Salmonella typhimurium on high-pH beef packed under vacuum or carbon dioxide. International journal of food microbiology, 13(1), pp.21-30.",3.37244182613313,12.7843099494722,7.42541850672824,2.84558022180681,6.0178777830957,14.0947017192931,13.4235254469458,0.128092521996143,6.18414495105578,13.4294342412273,13.4235254469458,0.198858317498614,6.22485434936346,13.4235254469458,13.2654776249063,0.204423130123952,0,0,5,5,0,20.62,42.488,42.6524
"87",28338,0.946,0.997,0.997,0.997,0.716,0.992,0.996,0.996,-51.9,-94.52,-92.07,-89.48,-24.34,-75.12,-84.2,-84.24,"OD_595",25,"TSB","Bacillus.pumilus..RDA.R.",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.0018023498362022,0.36020688165134,0.378217225733907,0.00873631643280959,0,0.397128087020603,0.0108831983588648,1.83625209046889,0,0.397128087020603,0.0248623032732512,3.31214456495013,0.00879861901305751,0.368350513358985,0.00940325321304523,0.0415293688608935,0,1,5,5,0,50.78,68.94,69.06
"88",28408,0.391,0.775,0.954,0.983,0.935,0.99,0.981,0.994,-26.9,-52.38,-95.03,-120.6,-88.25,-139.5,-120.7,-152,"OD_595",5,"TSB","Enterobacter.sp.",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.0673296180318585,0.694757826040729,0.0332528146200389,0.0199023239673267,0,0.649873256313791,0.0142379879416904,0,0,0.652094898584959,0.0221785229798428,0,0.0217017902366258,0.646220433313456,0.0113271823641944,0,0,0,0,5,0,70.05,32.45,107.55
"89",28855,0.955,0.959,0.998,0.999,0.954,0.995,0.998,0.997,29.83,31.09,2.575,-1.321,32.18,11.88,2.845,6.635,"CFU",20,"Cooked Chicken Breast","Aerobic Mesophilic.",1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.0489905597225896,10.1750351024581,0.210339611176713,0.0582392158515207,1.48066129569832,11.0358582158746,0.958959953285622,17.214131094853,1.43769018997086,10.4553622575143,0.778024556439516,15.0321796391453,1.4483364893529,10.4058824168444,0.753643946108369,14.5151841152651,0,1,5,3,0,20.3,42.16,30.79
"90",29063,0.931,0.996,0.997,0.997,0.689,0.991,0.992,0.991,17.26,2.535,1.247,3.039,28.1,8.459,8.084,8.933,"N",20,"C02 Beef Striploins","Escherichia coli",1,"Gill, C.O. and DeLacy, K.M., 1991. Growth of Escherichia coli and Salmonella typhimurium on high-pH beef packed under vacuum or carbon dioxide. International journal of food microbiology, 13(1), pp.21-30.",6.14722355670154,12.5825742371816,7.30869330272354,1.96441272087356,6.43015679984932,13.8722880964927,13.2117029490406,0,6.8419818869553,13.2317513234189,11.1608316303644,0,6.88076535437022,13.2006552899084,11.0314482171008,0.00104906109693512,0,5,5,5,0,20.115,21.24,19.167
