ID,Model 1 R^2,Model 2 R^2,Model 3 R^2,Model 4 R^2,Model 5 R^2,Model 6 R^2,Model 7 R^2,Model 8 R^2,Model 1 BIC,Model 2 BIC,Model 3 BIC,Model 4 BIC,Model 5 BIC,Model 6 BIC,Model 7 BIC,Model 8 BIC,Pop_Size_units,Temp_C,Medium,Species,Repeat,Citation,N05,Nmax5,Rmax5,Tlag5,N06,Nmax6,Rmax6,Tlag6,N07,Nmax7,Rmax7,Tlag7,N08,Nmax8,Rmax8,Tlag8
23362,0.772,0.968,0.988,0.991,0.911,0.976,0.983,0.975,-32.39,-59.09,-71.06,-72.91,-43.76,-60.7,-66.21,-60.05,OD_595,35,TSB,Bacillus.pumilus,1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.005051037603604128,0.3452198747888845,0.3624808685283287,0.007556663032724332,0,0.3452198747888845,0.021273218821232637,0.13163549412519548,0,0.3452198747888845,0.04757395937221388,0.19340080986766278,1.5006762837013743e-5,0.3452198747888845,0.022160859098215958,0.5565822014484048
23777,0.353,0.651,0.878,0.954,0.632,0.635,0.593,0.64,-36.05,-43.15,-57.23,-69.98,-42.29,-39.65,-37.94,-39.89,OD_595,35,TSB,Stenotrophomonas.maltophilia,2,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.020954475771138657,0.2820685408016248,0.2961719678417061,0.0175999243604819,0.040372567668127496,0.2820685408016248,0.04186358464335313,3.258177704172418,0.027779052740710332,0.2820685408016248,0.07071324191188672,0,0.03942623909404558,0.2820685408016248,0.03211509331848265,1.942712725582
24044,0.0037200000000000002,0.523,0.903,0.986,0.0262,0.0335,0.0191,0.0342,3.008,-10.79,-44.29,-86.37,5.618,8.581,8.921,8.565,OD_595,15,TSB,Pantoea.agglomerans..RDA.R.,1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.014505759190305653,0.6794346482921227,0.11355172326396398,0.04744760434743059,0,0.6794346482921227,0.03803694695826086,7.380654037984331,0,0.6794346482921227,0.052630339040347036,7.380654037984331,0.008884194949647352,0.6794346482921227,0.030445108991968912,7.380654037984331
24159,0.988,0.99,0.997,0.998,0.125,0.992,0.996,0.996,8.808,9.976,3.178,2.171,40.95,9.976,4.45,4.319,N,12,Vacuum Beef Striploins,Spoilage,1,"Gill, C.O. and DeLacy, K.M., 1991. Growth of Escherichia coli and Salmonella typhimurium on high-pH beef packed under vacuum or carbon dioxide. International journal of food microbiology, 13(1), pp.21-30.",4.439043735174875,13.23723463100544,2.786283968493729,3.4188234227926904,6.577676547289802,14.5940511806835,5.280287143755721,0.959714843953444,6.414346754443878,14.03941643045601,4.234200121541736,0.5392840856397418,6.388033342725067,13.899096362555714,4.166255014519827,0.4849434935597115
24741,0.862,0.997,0.998,0.999,0.543,0.998,0.997,0.996,65.98,24.39,23.43,11.6,81.58,23.16,28.54,30.72,N,30,MRS broth,Lactobacillus sakei,1,"Silva, A.P.R.D., Longhi, D.A., Dalcanton, F. and Aragão, G.M.F.D., 2018. Modelling the growth of lactic acid bacteria at different temperatures. Brazilian Archives of Biology and Technology, 61.",3.5850128668450094,29.51825018314292,0.9309478576781438,5.009256003634522,4.431571951205685,31.055244432332316,4.3712852921249095,0,6.213623358566576,30.39173175266966,3.5030371903082695,0,6.430679397998018,30.39171860986232,3.413792022097492,0
24959,0.251,0.924,0.985,0.986,0.534,0.725,0.721,0.742,3.247,-48.55,-84.97,-81.98,-4.993,-14.46,-14.1,-16.02,OD_595,15,TSB,Clavibacter.michiganensis,1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.06162753320064877,0.7923177614441155,0.03526326394928207,0.05764029272518596,0,0.7186555659357056,0.017047787383921056,0,0,0.7186555659357056,0.025766571556105358,0,0.024661275548803863,0.7186555659357056,0.01256227083925198,0
25341,0.496,0.76,0.872,0.928,0.992,0.994,0.993,0.991,1.011,-19.28,-35.96,-50.71,-128.9,-131.8,-128.8,-120,OD_595,15,TSB,Klebsiella.pneumonia..RDA.R.,1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.06822154110824609,0.7968645580732447,0.27878579016955213,0.008934262528679737,0.003210670796111859,0.7997079399653227,0.10401362690415676,0,0.03862189498220807,0.8002282659298809,0.16043001634338683,2.633871016540179,0.08181125742519026,0.7957499132731933,0.11373139876418606,2.059721387659594
25375,0.921,0.929,0.989,0.991,0.976,0.992,0.993,0.993,48.55,49.8,30.18,29.85,36.52,25.42,24.89,24.72,CFU,7,Cooked Chicken Breast,Aerobic Mesophilic.,1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.012363881188299715,12.392356961460116,0.04111782893772435,0.01737601277995,1.0195978144908773,13.66257355000978,0.21545553187577626,112.92777303097935,1.0521125074322022,12.581454116889423,0.1715313308628536,99.87514279001343,1.0816474858446448,12.614477546377001,0.16529486788114295,97.20350606316659
26265,0.947,0.992,0.997,1,-0.137,0.993,0.998,0.996,6.175,-3.509,-8.14,-24.65,26.32,-2.802,-11.24,-5.469,N,10,Vacuum Beef Striploins,Salmonella Typhimurium,1,"Gill, C.O. and DeLacy, K.M., 1991. Growth of Escherichia coli and Salmonella typhimurium on high-pH beef packed under vacuum or carbon dioxide. International journal of food microbiology, 13(1), pp.21-30.",4.862017925890077,8.171905022302095,1.7105390224679333,1.686696117868744,5.637844820886061,9.009525287088062,2.4203188010544987,1.7848291579796833,5.5839793985871085,8.998464285465879,2.213460849092816,1.671774009533993,5.625581641807509,8.5805002734172,2.0147191654269188,1.5267958547921812
26919,0.339,0.547,0.721,0.86,0.997,0.998,0.994,0.992,10.83,7.246,1.818,-7.101,-78.82,-78.35,-62.47,-57.91,OD_595,25,TSB,Klebsiella.pneumonia..RDA.R.,1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.03756569488662358,0.8803364316990636,0.6514854565557767,0.0045579333125531,0.065961786729454,0.883789845512465,0.35151936807118916,2.2229712106170387,0,0.8841466724711142,0.5781648720131897,2.736437880286051,0.06361252149779509,0.8775005871431895,0.2555253327093088,1.4733009798633627
27048,0.852,0.994,0.994,0.998,0.592,0.996,0.998,0.992,86.65,41.33,43.57,27.71,104.5,38.2,30.01,47.99,N,20,MRS broth,Weissella viridescens,1,"Silva, A.P.R.D., Longhi, D.A., Dalcanton, F. and Aragão, G.M.F.D., 2018. Modelling the growth of lactic acid bacteria at different temperatures. Brazilian Archives of Biology and Technology, 61.",0.6691494246961993,29.225031367950553,0.5277298254980831,1.5485002496796776,5.609481810161697,31.36249663550082,2.2973723580325416,2.865914653015571,5.082521395361654,30.32363382323046,1.82963361402233,0,8.49944781001195,30.328616965247335,1.9092212480855724,5.158264947244991
27269,0.00682,0.233,0.541,0.78,0.644,0.702,0.688,0.706,19.18,17.42,11.09,0.7571,3.585,3.28,4.099,3.074,OD_595,35,TSB,Dickeya.zeae,1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.09424389683424869,0.8629684048763794,0.5626223984931037,0.07916402488265652,0.03829517126234752,0.8629684048763794,0.6216209608979967,2.55077747989276,0,0.8629684048763794,0.9061168251201984,2.55077747989276,0.07478598116684758,0.8629684048763794,0.43736055997078527,2.55077747989276
27405,0.972,0.974,0.993,0.995,0.959,0.987,0.995,0.993,17.08,18.57,10.37,10.24,22.2,15.36,8.088,9.992,CFU,20,Raw Chicken Breast,Aerobic Psychotropic.,1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.06690378575766114,8.987524159972981,0.18896002688510224,0.07004905829984699,1.6051971703190673,9.535143104226403,0.8495419612511954,18.58778821932612,1.5426353380759579,9.196359031271133,0.6989985243341165,16.75962814587048,1.4383766187549445,9.081088670691813,0.6521296002944815,15.221733734465927
27458,0.854,0.993,0.994,0.995,0.832,0.898,0.938,0.953,25.09,6.054,6.167,7.432,28.04,26.47,22.96,21.08,N,30,C02 Beef Striploins,Salmonella Typhimurium,1,"Gill, C.O. and DeLacy, K.M., 1991. Growth of Escherichia coli and Salmonella typhimurium on high-pH beef packed under vacuum or carbon dioxide. International journal of food microbiology, 13(1), pp.21-30.",5.12634128418231,12.080996382227402,9.039773334618067,1.3763489582677477,6.658081557417522,13.319298511405712,12.685046201338773,0,6.577855683780034,12.408855021098216,12.685046201338773,0,6.801730827192096,12.331170977926643,12.685046201338773,1.0310206615459482e-5
28207,0.961,0.973,0.998,0.999,0.512,0.988,0.998,0.998,15.7,15.21,0.9595,-1.044,32.59,11.97,1.036,0.9812,N,20,Vacuum Beef Striploins,Salmonella Typhimurium,1,"Gill, C.O. and DeLacy, K.M., 1991. Growth of Escherichia coli and Salmonella typhimurium on high-pH beef packed under vacuum or carbon dioxide. International journal of food microbiology, 13(1), pp.21-30.",3.3724418261331284,12.784309949472165,7.425418506728244,2.8455802218068063,6.017877783095697,14.094701719293063,13.423525446945774,0.1280925219961433,6.184144951055784,13.429434241227273,13.423525446945774,0.19885831749861427,6.224854349363455,13.423525446945774,13.265477624906302,0.2044231301239516
28338,0.946,0.997,0.997,0.997,0.716,0.992,0.996,0.996,-51.9,-94.52,-92.07,-89.48,-24.34,-75.12,-84.2,-84.24,OD_595,25,TSB,Bacillus.pumilus..RDA.R.,1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.0018023498362021958,0.36020688165134024,0.37821722573390726,0.008736316432809591,0,0.39712808702060265,0.010883198358864777,1.836252090468893,0,0.39712808702060265,0.02486230327325123,3.3121445649501298,0.00879861901305751,0.36835051335898533,0.009403253213045226,0.04152936886089345
28408,0.391,0.775,0.954,0.983,0.935,0.99,0.981,0.994,-26.9,-52.38,-95.03,-120.6,-88.25,-139.5,-120.7,-152,OD_595,5,TSB,Enterobacter.sp.,1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.06732961803185845,0.6947578260407292,0.03325281462003892,0.019902323967326725,0,0.6498732563137909,0.014237987941690393,0,0,0.652094898584959,0.022178522979842814,0,0.0217017902366258,0.646220433313456,0.011327182364194369,0
28855,0.955,0.959,0.998,0.999,0.954,0.995,0.998,0.997,29.83,31.09,2.575,-1.321,32.18,11.88,2.845,6.635,CFU,20,Cooked Chicken Breast,Aerobic Mesophilic.,1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.04899055972258958,10.175035102458109,0.2103396111767127,0.05823921585152073,1.4806612956983152,11.035858215874567,0.9589599532856222,17.214131094852952,1.4376901899708587,10.45536225751426,0.7780245564395163,15.03217963914532,1.4483364893529018,10.40588241684439,0.7536439461083692,14.51518411526514
29063,0.931,0.996,0.997,0.997,0.689,0.991,0.992,0.991,17.26,2.535,1.247,3.039,28.1,8.459,8.084,8.933,N,20,C02 Beef Striploins,Escherichia coli,1,"Gill, C.O. and DeLacy, K.M., 1991. Growth of Escherichia coli and Salmonella typhimurium on high-pH beef packed under vacuum or carbon dioxide. International journal of food microbiology, 13(1), pp.21-30.",6.147223556701543,12.58257423718156,7.308693302723541,1.9644127208735596,6.430156799849319,13.872288096492671,13.211702949040639,0,6.841981886955297,13.2317513234189,11.160831630364441,0,6.880765354370215,13.200655289908394,11.03144821710077,0.0010490610969351231
29537,0.927,0.983,0.993,0.994,0.503,0.99,0.997,0.996,87.44,64.38,50.14,50.36,124.8,56.71,37.95,39.95,N,16,MRS broth,Lactobacillus plantarum,1,"Silva, A.P.R.D., Longhi, D.A., Dalcanton, F. and Aragão, G.M.F.D., 2018. Modelling the growth of lactic acid bacteria at different temperatures. Brazilian Archives of Biology and Technology, 61.",2.791766926936663e-5,29.50554800070223,0.2866954394576089,4.825726356324831e-4,6.087560473407575,32.52986667077421,0.8336905660129844,9.299478369795427,6.381716782593055,30.311294397760317,0.680045542198226,4.3739286805701445,6.403818437447506,30.325998858410017,0.6739739061483886,4.161582263075817
29737,0.653,0.909,0.975,0.992,0.984,0.991,0.928,0.985,-44.11,-64.11,-83.35,-99.9,-93.24,-100.5,-65.07,-91.75,OD_595,35,TSB,Pseudomonas.fluorescens,1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.021289029040337352,0.24190994288825518,0.25400544003266795,0.004388725245829987,0,0.24190994288825518,0.029702146396391214,0.004551586535537425,0.029257179329974223,0.25656434873690154,0.040226288460056464,0,0.0076943917884854775,0.24190994288825518,0.029164419541389906,0.3457428956486497
30124,0.391,0.807,0.938,0.977,0.96,0.963,0.727,0.953,-39.48,-62.77,-85.89,-105.9,-99.04,-97.65,-51.7,-92.35,OD_595,15,TSB,Pseudomonas.fluorescens,2,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.027503238468204,0.34615452202733543,0.06526469228141558,0.008952608555117932,0.00886960197224593,0.34615452202733543,0.01292811256411296,5.584502289392277,0.07451011986700373,0.35475606344727545,0.009352633847787312,0,0.026876778305600688,0.34615452202733543,0.007774302478771685,0
30157,0.17,0.382,0.487,0.607,0.082,-153,0.205,NA,-122.7,-124.9,-125.2,-126.9,-118.2,-28.29,-117.8,NA,CFU,37,TGE agar,Arthrobacter sp. 77,1,"Roth, N.G. and Wheaton, R.B., 1962. Continuity of psychrophilic and mesophilic growth characteristics in the genus Arthrobacter. Journal of bacteriology, 83(3), pp.551-555.",1.8885672563207263,1.8948484252007836,0.003161760727049368,0.004990859459871087,1.8721930218828133,1.9976494359273735,0.003161760727049368,295.6672091131,1.8889401532725296,1.8946973064696409,0.02616326621496737,295.6672091131,0,0,0,0
30346,0.983,0.985,0.997,0.997,0.933,0.993,0.998,0.998,15.42,16.5,1.845,3.682,31.7,11.09,0.9087,0.9272,CFU,2,Salted Chicken Breast,Staphylococcus spp.,1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.10761611244919604,8.929812974282953,0.016125234048219125,0.1083272194596119,1.0199238758154838,9.845118804146956,0.05651967943445757,152.1440837380475,0.9432921001403433,9.440737164826082,0.04667117736409437,121.90030245101241,1.000853103494403,9.376303622997103,0.045943117299646244,121.03896689688035
30397,0.801,0.958,0.958,0.966,0.969,0.969,0.958,0.957,45.52,29.43,31.88,31.86,25.61,28.13,31.78,32.02,CFU,7,TGE agar,Arthrobacter sp. 62,1,"Roth, N.G. and Wheaton, R.B., 1962. Continuity of psychrophilic and mesophilic growth characteristics in the genus Arthrobacter. Journal of bacteriology, 83(3), pp.551-555.",1.1961058087426295,9.386363270503388,0.020807709741430036,0.35439219802994565,0.8800056351165271,9.623550269830817,0.09939953629701048,1.6260162601626,1.6486421976141254,9.37794585425523,0.07734624962921557,1.6260162601626,1.6980074930248528,9.380739960436733,0.07612757787112438,1.6260162601626
30439,0.993,0.994,0.997,0.998,0.227,0.994,0.997,0.997,-1.105,-0.3803,-3.647,-4.246,33.63,1.207,-3.798,-3.684,N,12,Vacuum Beef Striploins,Salmonella Typhimurium,1,"Gill, C.O. and DeLacy, K.M., 1991. Growth of Escherichia coli and Salmonella typhimurium on high-pH beef packed under vacuum or carbon dioxide. International journal of food microbiology, 13(1), pp.21-30.",4.023574563912751,9.915583574825707,2.0822725507134,2.022648883999491,5.465677421521828,10.931930891245342,3.120628512346751,0.7366211973461083,5.475639893958469,10.820716762245155,2.5973552093453374,0.47575728209514095,5.485250128196782,10.411362753566992,2.5224204415632614,0.41753925146485865
30715,0.94,0.989,0.991,0.991,-0.947,0.977,0.988,NA,14.48,1.168,2.2,4.397,47.95,10.01,4.322,NA,N,10,C02 Beef Striploins,Escherichia coli,1,"Gill, C.O. and DeLacy, K.M., 1991. Growth of Escherichia coli and Salmonella typhimurium on high-pH beef packed under vacuum or carbon dioxide. International journal of food microbiology, 13(1), pp.21-30.",4.24896047835108,10.508390318582252,0.9168672951742661,2.581026155249645,6.6523786077488545,11.585500326236934,1.31662381200607,3.9452324925617126,6.602063966925535,11.585500326236934,1.190468791414643,3.5761497813762793,0,0,0,0
31215,0.909,0.957,0.996,1,0.949,0.972,0.989,0.99,25.97,23.3,10.79,-0.1137,24.28,22.5,16.69,16.6,CFU,4,Cooked Chicken Breast,Aerobic Mesophilic.,1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.009213866444347777,12.882463282396458,0.026969152298517533,0.02503735773223065,0.9625491883095864,14.202915768842097,0.12759720522294618,168.0443596760878,1.1759779180421945,12.882463282396458,0.11307916980773391,162.27393686367878,1.216412358140834,12.882463282396458,0.11228933496800143,162.37684089274373
31227,0.533,0.98,0.994,0.996,0.845,0.85,0.848,0.859,-8.176,-58.52,-75.52,-78.88,-24.04,-21.8,-21.57,-22.85,OD_595,25,TSB,Clavibacter.michiganensis..RDA.R.,1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.045712249683432425,0.6177081970560652,0.13951982106853245,0.02341936425587931,0.018555078398611383,0.6177081970560652,0.04763107261514841,3.310679662444588,0,0.6177081970560652,0.0823973999300694,3.310679662444588,0.01900812589581345,0.6177081970560652,0.034853555959526356,0.713283057557806
31574,0.851,0.986,0.994,0.996,0.981,0.995,0.991,0.988,23.52,10.99,8.148,6.975,12.85,7.025,9.964,12.09,CFU,4,Raw Chicken Breast,Aerobic Psychotropic.,1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.12827886732056587,10.068156391898968,0.020782482174776126,0.1029904285443147,2.631475176705355,10.206173732672777,0.12134168369584379,172.04642284393094,2.650336537978692,9.964661300647094,0.10284952038191524,163.9972788524474,0.011299394847981776,9.954069132255226,0.08817191060793499,78.20453531536155
31867,0.946,0.949,0.995,0.995,0.95,0.989,0.995,0.995,31.01,32.81,12.63,14.53,32.46,19.86,11.22,12.41,CFU,15,Raw Chicken Breast,Aerobic Psychotropic.,1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.09411461789733659,10.107342964814285,0.10289925392621307,0.0902337616835494,1.3323936845304138,11.066664906481755,0.4612272655395044,27.958615106109498,1.3205900973025013,10.5956452167542,0.3901998854398756,24.890963049885386,1.2850510092737237,10.539680863315954,0.37250805670752984,23.47213305748371
32024,0.901,0.901,0.995,0.995,0.984,0.994,0.999,0.998,37.58,40.05,6.257,8.152,18.21,8.799,-10.66,-3.351,CFU,7,Salted Chicken Breast,Pseudomonas spp.,1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.15275645939682903,8.126414313678826,0.024590234388368437,0.06710289629599711,1.1589370783187916,8.26514919372932,0.12958817872916156,110.5520732754872,1.1465328495616385,7.74672687788569,0.11193469090518855,103.51317102093913,1.1395000994357967,7.72761043574737,0.1045220448059978,97.69859646878614
32173,0.762,0.915,0.996,0.996,0.991,0.992,0.994,0.994,29.48,25.1,8.357,10.15,11.88,12.78,10.97,11.09,N,15,Pasteurised Double Cream,Serratia marcescens,1,"Phillips, J.D. and Griffiths, M.W., 1987. The relation between temperature and growth of bacteria in dairy products. Food Microbiology, 4(2), pp.173-185.",0.43608940970819915,11.171881499092553,0.0038312939161006428,0.17337982122712148,1.1902419046912913,11.159572768775499,0.027024755116806444,452.79105555875987,1.0170308842418785,11.002022994700159,0.022178766638690575,369.6923798056537,1.0076943471522866,11.005088773065918,0.02206241867899422,365.9298406115552
33392,0.926,0.95,0.983,0.997,0.988,0.993,0.994,0.987,24.65,23.67,17.21,5.859,12.42,10.17,8.605,14.93,CFU,4,Raw Chicken Breast,Staphylococcus spp.,1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.20860996596306203,8.285965683372568,0.01394323089171417,0.09712501235853849,1.0403627947995733,8.650425423383632,0.06828077530061707,159.73490500574226,1.0968631535164481,7.957649533954899,0.06378662400416465,155.96191657010445,1.2586088781311873,8.125896062654236,0.0527346537465738,144.63251038364368
34037,0.931,0.94,0.984,0.992,0.368,0.998,0.998,0.999,25.55,26.53,17.8,14.3,45.37,2.44,0.7163,-1.618,N,12,C02 Beef Striploins,Spoilage,1,"Gill, C.O. and DeLacy, K.M., 1991. Growth of Escherichia coli and Salmonella typhimurium on high-pH beef packed under vacuum or carbon dioxide. International journal of food microbiology, 13(1), pp.21-30.",1.689192306378774,13.001909174588267,1.5164446496162176,2.238308399225156,6.612855805449382,13.657035811788061,5.208860111871735,2.140965531367565,6.6152365766883685,13.535496327268815,4.222186093015769,1.95558917606081,6.653846938331076,13.535549693181407,4.080737840638567,1.8971716747237957
34444,0.905,0.944,0.989,0.991,0.975,0.997,0.993,0.988,44.37,39.69,20.13,18.63,28.12,2.723,13.72,21.3,CFU,7,Cooked Chicken Breast,Staphylococcus spp.,1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.06718630864599487,8.595071005667418,0.022976950158870826,0.04243031960549804,1.0366305924840717,9.209538657725997,0.11019463410838375,145.59416354136792,1.0429088793537213,8.368089181116229,0.09549118588977203,136.16131750182032,1.0105447954784688,8.770989197834282,0.08200130199783938,122.15786694941538
35861,0.586,0.697,0.708,0.723,0.422,0.237,0.703,-28.2,-115.1,-117.3,-115.1,-113.2,-107,-99.79,-114.9,-41.48,CFU,37,TGE agar,Arthrobacter sp. 62,1,"Roth, N.G. and Wheaton, R.B., 1962. Continuity of psychrophilic and mesophilic growth characteristics in the genus Arthrobacter. Journal of bacteriology, 83(3), pp.551-555.",1.8993795196044372,1.922619350867412,0.0032104841578235966,0.006442684320054233,1.926290494694158,1.9102830203324452,0.0032104841578235966,479.674796747967,1.9070261470322842,1.928890876564122,0.014150055916994341,479.674796747967,1.897717943501804,2.022605019428866,0.0032104841578235966,479.674796747967
36038,0.928,0.967,0.994,0.995,0.995,0.992,0.967,0.996,-133.8,-153.2,-198.3,-203.1,-205.3,-189.4,-149.8,-207.9,OD_595,5,TSB,Stenotrophomonas.maltophilia..RDA.R.,1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.008064060827886896,0.21102124061202973,0.012289822104517172,0.0010068254821981569,0.010450381785767085,0.2175757866840724,0.0014876980834702374,108.70817822982184,0,0.21912060075339385,0.00689159995881398,167.6252564900452,0.0075958840841305044,0.20544124872047484,0.001162304827519416,67.78712828479667
36093,0.945,0.965,0.995,0.995,0.955,0.998,0.997,0.996,44.12,40.62,16.02,17.63,44.11,5.247,10.11,11.3,CFU,7,Salted Chicken Breast,Aerobic Mesophilic.,1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.03846158170752911,10.504612191345442,0.03465590956205229,0.043936090543876295,1.1595143929548497,11.581334940958351,0.14792428488500758,102.9125630732685,1.1828630149031711,10.76250598708812,0.12185278250623813,91.37667125808129,1.2087889989332332,10.736595953536318,0.11966124910820597,90.36605103872706
36273,0.942,0.999,0.999,0.999,0.504,0.998,0.993,0.992,94.09,22.28,21.12,14.27,140.1,28.89,58.61,60.25,N,8,MRS broth,Weissella viridescens,1,"Silva, A.P.R.D., Longhi, D.A., Dalcanton, F. and Aragão, G.M.F.D., 2018. Modelling the growth of lactic acid bacteria at different temperatures. Brazilian Archives of Biology and Technology, 61.",1.8892918413130602,27.272132069515127,0.08493145023665244,2.6736108623037422,4.014890277116039,29.32018464632833,0.29416849293149544,0,5.791435240152042,27.761187815987363,0.22855084135673293,0,5.895195773618916,27.857256449270928,0.2260532507620011,0.3833858373189555
36400,0.958,0.977,0.989,0.998,0.985,0.995,0.987,0.987,20.06,17.33,13.85,1.286,14.11,7.094,14.86,15.1,CFU,15,Salted Chicken Breast,Aerobic Mesophilic.,1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.11388956771178096,8.638800599484183,0.08847579867907249,0.06014467934806457,0.9276098700408842,9.51659171873535,0.37463344801246845,28.41273122177444,1.1059206209290255,8.875178475009067,0.31815662106653114,26.832503578356643,1.2747843132156997,9.063420684509857,0.3040374393707544,27.32471469945854
36930,0.968,0.994,0.996,0.996,0.961,0.996,0.994,0.993,28.13,12.87,10.89,11.78,32.47,10.1,14.97,15.42,CFU,15,Cooked Chicken Breast,Staphylococcus spp.,1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.1269750630564955,10.25928681766244,0.08626903812883621,0.0949614124736817,0.5146000384925418,11.310863716472841,0.3356669062639875,20.72995351425272,0.41367469754873576,10.400596733644193,0.28794876180236506,15.845081981593182,1.2162285686624612,10.365995865517757,0.28976157308197903,22.39713447900609
